Timestamp,"['utm_x', 'utm_y', 'cur_speed', 'target_predicted_speed']"
30.424222946166992,"[330304.7508292238, 4166740.4550603586, 1.1184310439182203, 2.0038155505902395]"
30.521111488342285,"[330304.8060522933, 4166740.5649359794, 1.157124453116431, 2.0034339955312155]"
30.62079882621765,"[330304.8173794395, 4166740.6868123533, 1.1507706113730922, 2.0030905959780942]"
30.720659255981445,"[330304.8373037686, 4166740.79741168, 1.0436905671701742, 2.0027815363802848]"
30.81959867477417,"[330304.8481759216, 4166740.8970958176, 1.1386527126389328, 2.0025033827422565]"
30.923811674118042,"[330304.8592755686, 4166741.0078760716, 1.0551634944405535, 2.002253044468031]"
31.028560638427734,"[330304.8706027117, 4166741.129752445, 1.061478214566837, 2.0020277400212283]"
31.132055282592773,"[330304.8635979986, 4166741.218702316, 1.053000474833701, 2.0018249660191056]"
31.3107271194458,"[330304.87720010465, 4166741.451539869, 1.119645033035024, 2.0016424694171953]"
31.41087770462036,"[330304.8706503847, 4166741.5626819786, 1.1128544379207912, 2.001478222475476]"
31.501115083694458,"[330304.86387316865, 4166741.662727969, 1.104446014977645, 2.0013304002279284]"
31.608440160751343,"[330304.857323447, 4166741.7738700765, 1.0888379126389751, 2.001197360205136]"
31.705260753631592,"[330304.8507737302, 4166741.8850121847, 1.1620296898100322, 2.001077624184622]"
31.80531930923462,"[330304.81774996105, 4166741.996697073, 1.1423659658795864, 2.00096986176616]"
31.916431188583374,"[330304.7937783742, 4166742.1192971542, 1.1098297166682825, 2.000872875589544]"
32.008049964904785,"[330304.7695792917, 4166742.2308011143, 1.1761177662122106, 2.00078558803059]"
32.118016958236694,"[330304.718678664, 4166742.331751738, 1.147659357126495, 2.0173839746926703]"
32.206491470336914,"[330304.68542740436, 4166742.4323405093, 1.1394077408899765, 2.0156455772234034]"
32.306705474853516,"[330304.6435789603, 4166742.5442063254, 1.2198381040121677, 2.014081019501063]"
32.40068507194519,"[330304.57502897235, 4166742.6455188026, 1.145660508178579, 2.012672917550957]"
32.51272940635681,"[330304.5510573917, 4166742.768118884, 1.1914012758092882, 2.0114056257958612]"
32.60842704772949,"[330304.49133208866, 4166742.8692504377, 1.1581265043163462, 2.0154462634726076]"
32.70120429992676,"[330304.4135024297, 4166742.9485516082, 1.193649864910142, 2.023938257129025]"
32.79939270019531,"[330304.35400462686, 4166743.0607792805, 1.23898829695845, 2.038301948211591]"
32.90982365608215,"[330304.29450682807, 4166743.1730069537, 1.1505933252022629, 2.0592587437134764]"
33.00413179397583,"[330304.2078524926, 4166743.2524890536, 1.18046939816329, 2.081377099663737]"
33.10696530342102,"[330304.12142565625, 4166743.343067273, 1.158900340840402, 2.108326911186251]"
33.20159411430359,"[330304.03499882406, 4166743.433645494, 1.205791441336353, 2.134961860001742]"
33.295337438583374,"[330303.9573966727, 4166743.5240427884, 1.2777812801884365, 2.1646949917636253]"
33.401811361312866,"[330303.86191766313, 4166743.6037058206, 1.1481202027662434, 2.191896689213356]"
33.50477600097656,"[330303.7576139745, 4166743.683549782, 1.29334798101671, 2.2170751936754747]"
33.60892987251282,"[330303.6714146458, 4166743.785224125, 1.3339269095418984, 2.24441472955249]"
33.70472764968872,"[330303.59381250176, 4166743.875621423, 1.3519119793832735, 2.275140173282245]"
33.80778241157532,"[330303.4987884965, 4166743.977476695, 1.3444232964360594, 2.3045701440017274]"
33.912028789520264,"[330303.36801077443, 4166744.0578634464, 1.4558066492498238, 2.3379415986086842]"
34.01005673408508,"[330303.22863587306, 4166744.1495272466, 1.5609359371864049, 2.3738342748076904]"
34.1128351688385,"[330303.11596251477, 4166744.251744381, 1.5929099158458397, 2.4213974131492684]"
34.19672107696533,"[330302.9854122974, 4166744.343227257, 1.5503528630605357, 2.466853523489981]"
34.30200529098511,"[330302.8548620852, 4166744.4347101343, 1.645875147148167, 2.5123163722555915]"
34.40721106529236,"[330302.7064350161, 4166744.5154587547, 1.5969934251586637, 2.558205147972774]"
34.49736475944519,"[330302.55755294836, 4166744.5740151415, 1.7106636139229714, 2.6047001358755777]"
34.60402250289917,"[330302.4003012023, 4166744.654944696, 1.6877573877782317, 2.6472057653889496]"
34.705963373184204,"[330302.2428219614, 4166744.724778136, 1.78946360678277, 2.6886715190490795]"
34.80084443092346,"[330302.0676933634, 4166744.794973437, 1.8050085872371908, 2.6992236127845017]"
34.90852952003479,"[330301.88328508503, 4166744.843157436, 1.934069285211882, 2.7022745242933777]"
35.01600098609924,"[330301.6907346314, 4166744.924810725, 1.953343799744428, 2.6807417730294874]"
35.10138177871704,"[330301.51537853846, 4166744.9839099194, 1.9676679089724465, 2.612667595726539]"
35.19994592666626,"[330301.3135484091, 4166745.0435519125, 1.9647618176257398, 2.6749648577834018]"
35.29890275001526,"[330301.1117182824, 4166745.1031939075, 2.029963792780551, 2.729653594221144]"
35.39820313453674,"[330300.9368172028, 4166745.184485352, 2.0620749258938194, 2.7762730178539003]"
35.499802112579346,"[330300.7259349003, 4166745.2332121725, 2.046357251312683, 2.814782741763559]"
35.59947347640991,"[330300.5060004159, 4166745.2710238076, 2.0945865940562114, 2.8465557495991174]"
35.69632291793823,"[330300.2693265879, 4166745.3535817876, 2.0599776697818837, 2.8761263547206823]"
35.79726839065552,"[330300.0324252612, 4166745.425043655, 2.025390085884692, 2.9062674136484286]"
35.909322023391724,"[330299.85706918896, 4166745.4841428874, 2.073069222192062, 2.9323892464313523]"
35.9968626499176,"[330299.68148561777, 4166745.532146005, 1.9609010683866743, 2.9563753841512193]"
36.0938355922699,"[330299.49707736704, 4166745.5803300575, 2.0124139733166233, 2.978404376467675]"
36.196571826934814,"[330299.31266911834, 4166745.6285141152, 2.0174848202650746, 2.9982961158375687]"
36.29535460472107,"[330299.1282608715, 4166745.676698179, 1.985971802418151, 3.0216499289680634]"
36.39642310142517,"[330298.94385262893, 4166745.7248822437, 1.9342683371238851, 3.0419300357542993]"
36.497475147247314,"[330298.76849656744, 4166745.7839814993, 1.8904713697911428, 3.062461397247287]"
36.59973359107971,"[330298.5924579976, 4166745.8097924036, 1.8779568685142904, 3.08236153523871]"
